City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
356,pangai,-19.8,-174.35,25.27,85,100,5.45,TO,1728962110
357,sylvester,31.5307,-83.8354,17.9,38,0,3.24,US,1728962112
358,igarka,67.4667,86.5833,-10.7,90,97,5.37,RU,1728962113
359,port-gentil,-0.7193,8.7815,25.31,85,67,2.37,GA,1728962114
360,nordholz,53.7833,8.6,6.05,93,20,0.51,DE,1728962115
361,al bawiti,28.3492,28.8659,20.45,69,0,3.38,EG,1728962116
362,lecheng,25.1238,113.3254,25.76,81,100,1.58,CN,1728962117
363,pachino,36.7186,15.0907,20.35,73,8,1.23,IT,1728962119
364,muynoq,43.7683,59.0214,6.6,62,67,4.25,UZ,1728962120
365,morehead city,34.7229,-76.726,17.77,53,75,3.09,US,1728962121
366,tibati,6.4667,12.6333,18.02,98,93,1.08,CM,1728962122
367,sake,-1.5736,29.045,15.85,91,98,0.62,CD,1728962123
368,bonthe,7.5264,-12.505,23.37,92,100,2.57,SL,1728962124
369,klyuchi,52.2667,79.1667,-1.39,61,99,2.97,RU,1728962125
370,eydhafushi,5.1033,73.0708,27.66,79,98,6.71,MV,1728962127
371,sinop,41.7711,34.8709,9.88,90,22,1.58,TR,1728962128
372,tangi,34.3006,71.6536,24.11,42,0,1.04,PK,1728962129
373,howard springs,-12.497,131.047,33.26,67,21,1.91,AU,1728962130
374,ad dabbah,18.05,30.95,31.53,18,100,4.53,SD,1728962131
375,la sarre,48.8002,-79.1996,1.17,96,96,4.78,CA,1728962132
376,ciudad madero,22.2667,-97.8333,26.7,73,0,1.03,MX,1728961988
377,ust-nera,64.5667,143.2,-8.22,76,91,0.59,RU,1728962135
378,perambalur,11.2333,78.8833,23.51,93,100,1.89,IN,1728962136
379,yanchep,-31.55,115.6833,19.5,55,54,4.22,AU,1728962137
380,oum hadjer,13.2954,19.6966,28.46,54,49,2.6,TD,1728962138
381,khanbari,27.3747,87.2039,22.84,85,48,0.76,NP,1728962139
382,kushiro,42.975,144.3747,17.48,81,100,7.66,JP,1728962140
383,kidal,18.4411,1.4078,28.66,39,13,1.23,ML,1728962142
384,luisant,48.4295,1.4738,12.27,95,100,2.96,FR,1728962143
385,santyoku,37.4406,129.1708,22.33,71,100,1.42,KR,1728962144
386,borkum,53.5809,6.6915,10.01,76,73,2.82,DE,1728962145
387,hinthada,17.6333,95.4667,29.44,77,29,0.94,MM,1728962146
388,cole harbour,44.6724,-63.4751,17.66,94,100,3.58,CA,1728962147
389,coronel du graty,-27.6804,-60.9146,24.5,82,56,2.82,AR,1728962149
